yr,qtr,q,p,date,r
1977,1,22.9976,142.1667,1977Q1,3269.4928999
1977,2,22.6131,143.9333,1977Q2,3254.7781062
1977,3,23.4054,146.5,1977Q3,3428.8911
1977,4,22.7401,150.8,1977Q4,3429.20708
1978,1,22.0441,160,1978Q1,3527.056
1978,2,21.7602,182.5333,1978Q2,3971.9611147
1978,3,21.6064,186.2,1978Q3,4023.11168
1978,4,21.8814,186.4333,1978Q4,4079.4216106
1979,1,20.5086,211.7,1979Q1,4341.67062
1979,2,19.0408,231.5,1979Q2,4407.9452
1979,3,19.1457,222.7,1979Q3,4263.74739
1979,4,19.3989,223.8333,1979Q4,4342.1198034
1980,1,18.947,231.1667,1980Q1,4379.9154649
1980,2,18.898,227.5,1980Q2,4299.295
1980,3,19.2127,237.5333,1980Q3,4563.6560329
1980,4,19.4988,238.1667,1980Q4,4643.96485
1981,1,19.3429,233.5,1981Q1,4516.56715
1981,2,18.9816,230.7,1981Q2,4379.05512
1981,3,19.6459,239.0333,1981Q3,4696.0243085
1981,4,19.2868,235.4333,1981Q4,4540.7549704
1982,1,18.8193,233.3,1982Q1,4390.54269
1982,2,18.7968,242.9667,1982Q2,4566.9964666
1982,3,19.9882,244.0333,1982Q3,4877.7864071
1982,4,19.4242,233.1333,1982Q4,4528.4278459
1983,1,19.2252,233.8667,1983Q1,4496.1340808
1983,2,19.3361,240.9333,1983Q2,4658.7103821
1983,3,20.4952,234.3667,1983Q3,4803.3923898
1983,4,19.5995,227.1667,1983Q4,4452.3537367
1984,1,19.3191,238.4667,1984Q1,4606.962024
1984,2,19.3744,238,1984Q2,4611.1072
1984,3,19.9738,232.2,1984Q3,4637.91636
1984,4,19.7597,233.2333,1984Q4,4608.620038
1985,1,19.0586,234.9,1985Q1,4476.86514
1985,2,20.0757,230.4333,1985Q2,4626.1098008
1985,3,20.8175,222.7333,1985Q3,4636.7504728
1985,4,19.2488,226.4333,1985Q4,4358.569305
1986,1,19.0212,229.2667,1986Q1,4360.927754
1986,2,20.1607,222.9,1986Q2,4493.82003
1986,3,20.7108,225.6333,1986Q3,4673.0461496
1986,4,18.9416,229.3,1986Q4,4343.30888
1987,1,18.2746,230.6,1987Q1,4214.12276
1987,2,18.5266,239.1,1987Q2,4429.71006
1987,3,19.175,242.1667,1987Q3,4643.5464725
1987,4,17.8807,241.6667,1987Q4,4321.1697627
1988,1,18.1678,241.7333,1988Q1,4391.7622477
1988,2,18.4639,250.1,1988Q2,4617.82139
1988,3,18.7622,254.5333,1988Q3,4775.6046813
1988,4,17.2552,255,1988Q4,4400.076
1989,1,16.9765,260.7,1989Q1,4425.77355
1989,2,17.5192,266.9667,1989Q2,4677.0430106
1989,3,17.5975,268.0333,1989Q3,4716.7159968
1989,4,17.2416,266.9333,1989Q4,4602.3571853
1990,1,16.5516,272.6333,1990Q1,4512.5173283
1990,2,17.3763,281.2,1990Q2,4886.21556
1990,3,17.4207,280.3667,1990Q3,4884.1841707
1990,4,16.4315,289.8667,1990Q4,4762.9446811
1991,1,15.9842,294.2667,1991Q1,4703.6177861
1991,2,17.0449,295.2,1991Q2,5031.65448
1991,3,17.5591,284.6333,1991Q3,4997.904578
1991,4,16.2093,279.2,1991Q4,4525.63656
1992,1,16.3952,282.2667,1992Q1,4627.8189998
1992,2,16.9538,286.8333,1992Q2,4862.9144015
1992,3,17.227,282.6667,1992Q3,4869.4992409
1992,4,15.9093,286.6667,1992Q4,4560.6665303
1993,1,15.8915,292.1333,1993Q1,4642.436337
1993,2,16.2058,300.4,1993Q2,4868.22232
1993,3,17.043,292,1993Q3,4976.556
1993,4,15.9513,289.2333,1993Q4,4613.6471383
1994,1,16.2494,286.6667,1994Q1,4658.161875
1994,2,16.8868,286.1667,1994Q2,4832.4398296
1994,3,17.3775,279.5,1994Q3,4857.01125
1994,4,16.4723,279.1667,1994Q4,4598.5176324
1995,1,16.3097,283.8667,1995Q1,4629.780717
1995,2,17.0895,283.1,1995Q2,4838.03745
1995,3,17.647,285.1,1995Q3,5031.1597
1995,4,16.3476,285.2667,1995Q4,4663.4259049
1996,1,17.0783,278.7,1996Q1,4759.72221
1996,2,17.6763,277.4,1996Q2,4903.40562
1996,3,17.1606,279.8,1996Q3,4801.53588
1996,4,16.2764,285.0333,1996Q4,4639.3160041
1997,1,16.2921,278.8,1997Q1,4542.23748
1997,2,17.2994,278.9667,1997Q2,4825.95653
1997,3,17.0513,281.0667,1997Q3,4792.5526217
1997,4,16.2354,279.3,1997Q4,4534.54722
1998,1,16.6884,273.4667,1998Q1,4563.7216763
1998,2,17.1985,278.1,1998Q2,4782.90285
1998,3,17.5085,277.3667,1998Q3,4856.274867
1998,4,16.6475,279.5333,1998Q4,4653.5306118
1999,1,16.6785,278,1999Q1,4636.623
1999,2,17.7635,284.7667,1999Q2,5058.4532755
1999,3,17.6689,289.2333,1999Q3,5110.4342544
